deck,pdf_page,section_label,takeaway_title,slide_kind,diagram_visual,diagram_type,apollon_mappable,notes
BA Presentation Fangxing_Liu (1).pdf,1,title,Enhancing Terminal Usability in Modern IDEs through AI-Assistance,title,none,,,
BA Presentation Fangxing_Liu (1).pdf,2,overview,Beginner Student / Professional Developer,context,icon-array,,,two-persona map (closest thing to an agenda in corpus)
BA Presentation Fangxing_Liu (1).pdf,3,introduction,EduIDE (beginner),context,screenshot,,,build 3-4
BA Presentation Fangxing_Liu (1).pdf,4,introduction,EduIDE terminal,context,screenshot,,,build of p3
BA Presentation Fangxing_Liu (1).pdf,5,problem,NullPointerException wall,problem,code,,,
BA Presentation Fangxing_Liu (1).pdf,6,motivation,Motivation - Beginner,motivation,icon-array,,,3 cards
BA Presentation Fangxing_Liu (1).pdf,7,objectives,Objectives - Beginner,objectives/requirements/RQ,icon-array,,,3 cards
BA Presentation Fangxing_Liu (1).pdf,8,scope,Use Case Model - Beginner,domain/use-case,formal UML/model,use case,yes,system boundary + legend
BA Presentation Fangxing_Liu (1).pdf,9,demo,AI Terminal Assistant Live Demo,demo,none,,,separator
BA Presentation Fangxing_Liu (1).pdf,10,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,EduIDE extension components; Existing/Modified/New legend
BA Presentation Fangxing_Liu (1).pdf,11,problem,Terminal Output component focus,architecture/subsystem,formal UML/model,component,yes,small focus diagram
BA Presentation Fangxing_Liu (1).pdf,12,implementation,Unstructured Terminal Output,other,code,,,
BA Presentation Fangxing_Liu (1).pdf,13,implementation,Structured Terminal Output,other,code,,,build 13-15
BA Presentation Fangxing_Liu (1).pdf,14,implementation,Structured Terminal Output,other,code,,,build
BA Presentation Fangxing_Liu (1).pdf,15,implementation,Structured Terminal Output,other,code,,,build
BA Presentation Fangxing_Liu (1).pdf,16,overview,Persona switch,context,icon-array,,,"re-show of p2, professional highlighted"
BA Presentation Fangxing_Liu (1).pdf,17,problem,Problem - Professional,problem,code,,,log wall
BA Presentation Fangxing_Liu (1).pdf,18,motivation,Motivation - Professional,motivation,icon-array,,,
BA Presentation Fangxing_Liu (1).pdf,19,objectives,Objectives - Professional,objectives/requirements/RQ,icon-array,,,
BA Presentation Fangxing_Liu (1).pdf,20,demo,Enhanced Terminal UX Live Demo,demo,none,,,second demo separator
BA Presentation Fangxing_Liu (1).pdf,21,status,Status,status,none,,,two-persona checklist
BA Presentation Fangxing_Liu (1).pdf,22,future work,Future Work,future work,none,,,two-persona list
BA Presentation Fangxing_Liu (1).pdf,23,thanks,Thank you for your attention.,questions/thanks,none,,,
BA Presentation Jakub Jakubczyk Logos.pdf,1,title,(Logos) title,title,none,,,custom dark template
BA Presentation Jakub Jakubczyk Logos.pdf,2,problem,"Static registry, scarce GPUs, no runtime visibility",problem,icon-array,,,3 columns
BA Presentation Jakub Jakubczyk Logos.pdf,3,objectives,Objectives O1-O3,objectives/requirements/RQ,none,,,numbered objectives
BA Presentation Jakub Jakubczyk Logos.pdf,4,gap analysis,From passive forwarder to active coordinator,context,table,,,baseline vs proposed
BA Presentation Jakub Jakubczyk Logos.pdf,5,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,6,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,7,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,9,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,10,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"subsystem decomposition; 6-frame progressive build, ~85% width"
BA Presentation Jakub Jakubczyk Logos.pdf,11,worker lifecycle,"Sleep models, don't unload",dynamic/workflow,formal UML/model,state machine,no,lane lifecycle state machine; not an Apollon type (closest: activity/flowchart)
BA Presentation Jakub Jakubczyk Logos.pdf,12,demo,See it running,demo,none,,,separator
BA Presentation Jakub Jakubczyk Logos.pdf,13,evaluation,One workload. Two approaches. Three load levels.,evaluation/results,table,,,hardware/model setup
BA Presentation Jakub Jakubczyk Logos.pdf,14,evaluation,Time To First Token,evaluation/results,chart/plot,,,latency distribution plots
BA Presentation Jakub Jakubczyk Logos.pdf,15,status,Conclusion / Status,status,none,,,per-objective verdicts
BA Presentation Jakub Jakubczyk Logos.pdf,16,back cover,(closing),questions/thanks,none,,,
BA Presentation Kalra Catherine.pdf,1,title,Integrating AI Assistance in TUM's Doctoral Application Portal,title,none,,,
BA Presentation Kalra Catherine.pdf,2,problem,Inaccessible Job Postings / legal exposure,problem,screenshot,,,2 cards
BA Presentation Kalra Catherine.pdf,3,problem,Tedious Manual Entry / Biased Recommendations,problem,screenshot,,,2 cards
BA Presentation Kalra Catherine.pdf,4,motivation,Accessibility / Compliance / Efficiency / Integrity,motivation,icon-array,,,4 cards
BA Presentation Kalra Catherine.pdf,5,objectives,Objectives,objectives/requirements/RQ,icon-array,,,4 cards
BA Presentation Kalra Catherine.pdf,6,system models,Dynamic Model,dynamic/workflow,formal UML/model,activity,partial,swimlane activity (Professor/System); Apollon has no swimlanes
BA Presentation Kalra Catherine.pdf,7,system models,Analysis Object Model,data model,formal UML/model,class,yes,AOM ~80% width
BA Presentation Kalra Catherine.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,9,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,10,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,11,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,12,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,13,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,"6-frame progressive build, thesis-affected modules highlighted"
BA Presentation Kalra Catherine.pdf,14,demo,Live Demo,demo,none,,,separator
BA Presentation Kalra Catherine.pdf,15,status,Realized Goals,status,none,,,"reuses objective cards, green/yellow checks"
BA Presentation Kalra Catherine.pdf,16,status,Ongoing Goals,status,none,,,open items
BA Presentation Kalra Catherine.pdf,17,future work,AI Consistency Check,future work,screenshot,,,
BA Presentation Kalra Catherine.pdf,18,future work,AI Document Translation,future work,screenshot,,,
BA Presentation Kalra Catherine.pdf,19,thanks,Thank you for listening!,questions/thanks,none,,,
BA Presentation Kalra Catherine.pdf,20,appendix,Icon Sources,appendix-content,none,,,
BA Presentation Kalra Catherine.pdf,21,appendix,Dynamic Model,appendix-content,formal UML/model,activity,partial,second activity diagram
BA Presentation Pao Xin Tan.pdf,1,title,Integrating Hades into Artemis,title,none,,,
BA Presentation Pao Xin Tan.pdf,2,context,Programming Exercise Feedback Loop,context,flow/pipeline,,,code->build->result loop
BA Presentation Pao Xin Tan.pdf,3,motivation,Hades as an Alternative CI System,motivation,icon-array,,,
BA Presentation Pao Xin Tan.pdf,4,problem,Gaps: Integration between Artemis and Hades,problem,icon-array,,,
BA Presentation Pao Xin Tan.pdf,5,objectives,Objectives 1-3,objectives/requirements/RQ,icon-array,,,
BA Presentation Pao Xin Tan.pdf,6,scope,Use Case Model,domain/use-case,formal UML/model,use case,yes,"two system boundaries (Artemis+Hades), ~85% width"
BA Presentation Pao Xin Tan.pdf,7,demo,Live Demo,demo,none,,,separator at 7/12
BA Presentation Pao Xin Tan.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,New/Modified/Existing legend
BA Presentation Pao Xin Tan.pdf,9,dynamic model,Activity Diagram: Log Aggregation,dynamic/workflow,formal UML/model,activity,partial,container/step swimlane-ish partitions
BA Presentation Pao Xin Tan.pdf,10,status,Status,status,none,,,reuses objective wording w/ checks
BA Presentation Pao Xin Tan.pdf,11,future work,Future Work,future work,icon-array,,,
BA Presentation Pao Xin Tan.pdf,12,thanks,Thank you for your time!,questions/thanks,none,,,
BA Presentation Youssef El Toukhi.pdf,1,title,Iris as Autonomous AI Tutor in Artemis,title,none,,,
BA Presentation Youssef El Toukhi.pdf,2,context,"1,000+ Students Enrolled",context,other,,,big-number hook
BA Presentation Youssef El Toukhi.pdf,3,context,10 Tutors,context,other,,,big-number hook
BA Presentation Youssef El Toukhi.pdf,4,problem,High volume / limited tutors / repetitive,problem,icon-array,,,
BA Presentation Youssef El Toukhi.pdf,5,motivation,Students / Tutors,motivation,icon-array,,,
BA Presentation Youssef El Toukhi.pdf,6,objectives,Objectives,objectives/requirements/RQ,icon-array,,,4 cards
BA Presentation Youssef El Toukhi.pdf,7,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,Artemis boundary
BA Presentation Youssef El Toukhi.pdf,8,pipeline,Autonomous Tutor Pipeline,dynamic/workflow,flow/pipeline,,,"icon flow, not formal UML"
BA Presentation Youssef El Toukhi.pdf,9,demo,Live Demo,demo,none,,,separator
BA Presentation Youssef El Toukhi.pdf,10,architecture,Subsystem Decomposition - Question Answering,architecture/subsystem,formal UML/model,component,yes,Existing/Edited/Added legend; build 10-11
BA Presentation Youssef El Toukhi.pdf,11,architecture,Subsystem Decomposition - Question Answering,architecture/subsystem,formal UML/model,component,yes,build of p10
BA Presentation Youssef El Toukhi.pdf,12,architecture,Subsystem Decomposition - Memory Ingestion,architecture/subsystem,formal UML/model,component,yes,
BA Presentation Youssef El Toukhi.pdf,13,status,Status,status,none,,,reuses objectives; 3 green 1 yellow
BA Presentation Youssef El Toukhi.pdf,14,future work,Future Work,future work,icon-array,,,
BA Presentation Youssef El Toukhi.pdf,15,thanks,Thank you for your attention!,questions/thanks,none,,,
BA Thesis Presentation Marcos Oliva.pdf,1,title,Improving Software Quality and Developer Experience (E2E),title,none,,,custom gradient template
BA Thesis Presentation Marcos Oliva.pdf,2,intro,(visual intro),context,photo,,,
BA Thesis Presentation Marcos Oliva.pdf,3,problem,Problems,problem,none,,,section divider
BA Thesis Presentation Marcos Oliva.pdf,4,problem,Confusing Local Setup / Long Feedback Loop / Locators,problem,icon-array,,,"quantified pain: 5 steps, 27min, flaky"
BA Thesis Presentation Marcos Oliva.pdf,5,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,partial,"stylized: actors + rounded boxes, no ovals/boundary"
BA Thesis Presentation Marcos Oliva.pdf,6,demo,Demo,demo,none,,,gradient separator at 6/12
BA Thesis Presentation Marcos Oliva.pdf,7,architecture,Subsystem Decomposition,architecture/subsystem,none,,,section divider
BA Thesis Presentation Marcos Oliva.pdf,8,architecture,Local Dev Setup / E2E Test Suite / CI Pipeline,architecture/subsystem,formal UML/model,component,yes,"New/Improved/Added-by-contributor/Preexisting legend, ~90% width"
BA Thesis Presentation Marcos Oliva.pdf,9,evaluation,Results (before),evaluation/results,icon-array,,,before metrics; build 9-10
BA Thesis Presentation Marcos Oliva.pdf,10,evaluation,Results (before/after),evaluation/results,icon-array,,,"5 manual->1 script, 27.7->4.0 min"
BA Thesis Presentation Marcos Oliva.pdf,11,future work,Future Work,future work,icon-array,,,
BA Thesis Presentation Marcos Oliva.pdf,12,thanks,Thank you / Any Questions?,questions/thanks,none,,,
BA-Presentation-Handout-Pahle.pdf,1,title,Passkey-First SSO Solution,title,none,,,
BA-Presentation-Handout-Pahle.pdf,2,problem,How did the previous system operate?,problem,icon-array,,,
BA-Presentation-Handout-Pahle.pdf,3,motivation,What can a revised system enhance?,motivation,icon-array,,,
BA-Presentation-Handout-Pahle.pdf,4,requirements,What should the system be capable of?,objectives/requirements/RQ,icon-array,,,4 numbered requirements
BA-Presentation-Handout-Pahle.pdf,5,demo,Live Demo,demo,none,,,separator at 5/10 main
BA-Presentation-Handout-Pahle.pdf,6,architecture,Hardware Software Mapping,deployment/hardware,none,,,section divider
BA-Presentation-Handout-Pahle.pdf,7,architecture,HW/SW Mapping - Passkey Login,deployment/hardware,formal UML/model,deployment,yes,"3D nodes, numbered flow annotations, ~85% width"
BA-Presentation-Handout-Pahle.pdf,8,status,What can the system do now?,status,none,,,"reuses requirement wording, checks + TODO"
BA-Presentation-Handout-Pahle.pdf,9,future work,What should be explored next?,future work,none,,,
BA-Presentation-Handout-Pahle.pdf,10,thanks,Thank you for your attention!,questions/thanks,none,,,
BA-Presentation-Handout-Pahle.pdf,11,appendix,Additional Material,appendix-divider,none,,,
BA-Presentation-Handout-Pahle.pdf,12,appendix,HW/SW Mapping - TUM-Login,appendix-content,formal UML/model,deployment,yes,
BA-Presentation-Handout-Pahle.pdf,13,appendix,HW/SW Mapping - Session Reuse,appendix-content,formal UML/model,deployment,yes,
BA_Presentation_Senan_Aslan.pdf,1,title,Dynamic Context Handling and Mobile Extension of Iris,title,none,,,CIT template
BA_Presentation_Senan_Aslan.pdf,2,problem,Fixed Context / Separate Chats / Web-Only,problem,icon-array,,,3 cards
BA_Presentation_Senan_Aslan.pdf,3,motivation,Continuity / Trust / Mobility,motivation,icon-array,,,3 cards
BA_Presentation_Senan_Aslan.pdf,4,objectives,Objectives 00-01,objectives/requirements/RQ,icon-array,,,build 4-5
BA_Presentation_Senan_Aslan.pdf,5,objectives,Objectives 00-03,objectives/requirements/RQ,icon-array,,,"build complete, 4 cards"
BA_Presentation_Senan_Aslan.pdf,6,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,"title left, diagram right ~60% width; Existing/New/Modified legend"
BA_Presentation_Senan_Aslan.pdf,7,demo,Live Demo,demo,none,,,dark navy separator + mascot
BA_Presentation_Senan_Aslan.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,Pyris/Artemis server/web app stack
BA_Presentation_Senan_Aslan.pdf,9,status,Status,status,none,,,reuses objective cards; one marked open (red)
BA_Presentation_Senan_Aslan.pdf,10,future work,Future Work,future work,icon-array,,,4 cards
BA_Presentation_Senan_Aslan.pdf,11,thanks,Thank you for listening!,questions/thanks,none,,,dark separator
BA_Presentation_Senan_Aslan.pdf,12,appendix,Additional Material,appendix-divider,none,,,dark separator
BA_Presentation_Senan_Aslan.pdf,13,appendix,Activity Diagram,appendix-content,formal UML/model,activity,partial,IRIS/ARTEMIS/STUDENT swimlanes
BA_Presentation_Vivien_Finley_v3.pdf,1,title,Improving the Integration of Iris with Learning Materials,title,none,,,
BA_Presentation_Vivien_Finley_v3.pdf,2,context,Starting Point,context,icon-array,,,build 2-3
BA_Presentation_Vivien_Finley_v3.pdf,3,context,Starting Point (RAG + citations),context,icon-array,,,build of p2
BA_Presentation_Vivien_Finley_v3.pdf,4,problem,Which challenges do students face?,problem,icon-array,,,3 illustrated cards
BA_Presentation_Vivien_Finley_v3.pdf,5,motivation,Why does addressing these challenges matter?,motivation,icon-array,,,build 5-6
BA_Presentation_Vivien_Finley_v3.pdf,6,motivation,Why does addressing these challenges matter?,motivation,icon-array,,,build w/ outcome
BA_Presentation_Vivien_Finley_v3.pdf,7,objectives,How to better connect Iris with learning materials?,objectives/requirements/RQ,icon-array,,,3 objective cards
BA_Presentation_Vivien_Finley_v3.pdf,8,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,6-frame progressive build; existing/modified/new legend; objective-card callout on frames
BA_Presentation_Vivien_Finley_v3.pdf,9,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,6-frame progressive build; existing/modified/new legend; objective-card callout on frames
BA_Presentation_Vivien_Finley_v3.pdf,10,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,6-frame progressive build; existing/modified/new legend; objective-card callout on frames
BA_Presentation_Vivien_Finley_v3.pdf,11,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,6-frame progressive build; existing/modified/new legend; objective-card callout on frames
BA_Presentation_Vivien_Finley_v3.pdf,12,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,6-frame progressive build; existing/modified/new legend; objective-card callout on frames
BA_Presentation_Vivien_Finley_v3.pdf,13,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,6-frame progressive build; existing/modified/new legend; objective-card callout on frames
BA_Presentation_Vivien_Finley_v3.pdf,14,demo,Live Demo,demo,none,,,white separator
BA_Presentation_Vivien_Finley_v3.pdf,15,data model,Analysis Object Model,data model,formal UML/model,class,yes,6-frame progressive build; existing/modified/new legend
BA_Presentation_Vivien_Finley_v3.pdf,16,data model,Analysis Object Model,data model,formal UML/model,class,yes,6-frame progressive build; existing/modified/new legend
BA_Presentation_Vivien_Finley_v3.pdf,17,data model,Analysis Object Model,data model,formal UML/model,class,yes,6-frame progressive build; existing/modified/new legend
BA_Presentation_Vivien_Finley_v3.pdf,18,data model,Analysis Object Model,data model,formal UML/model,class,yes,6-frame progressive build; existing/modified/new legend
BA_Presentation_Vivien_Finley_v3.pdf,19,data model,Analysis Object Model,data model,formal UML/model,class,yes,6-frame progressive build; existing/modified/new legend
BA_Presentation_Vivien_Finley_v3.pdf,20,data model,Analysis Object Model,data model,formal UML/model,class,yes,6-frame progressive build; existing/modified/new legend
BA_Presentation_Vivien_Finley_v3.pdf,21,architecture,Subsystem Decomposition (divider),architecture/subsystem,screenshot,,,section intro
BA_Presentation_Vivien_Finley_v3.pdf,22,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,23,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,24,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,25,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,26,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,27,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,28,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,29,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,30,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,31,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,32,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,33,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,13-frame progressive build; Pyris/Artemis subsystems
BA_Presentation_Vivien_Finley_v3.pdf,34,status,Status,status,none,,,objective cards w/ green checks + yellow partial
BA_Presentation_Vivien_Finley_v3.pdf,35,future work,Future Work,future work,icon-array,,,3 cards
BA_Presentation_Vivien_Finley_v3.pdf,36,thanks,Thank you for your attention!,questions/thanks,none,,,
BA_Presentation_Vivien_Finley_v3.pdf,37,appendix,Additional Material,appendix-divider,none,,,dark separator
BA_Presentation_Vivien_Finley_v3.pdf,38,appendix,Activity Diagram,appendix-content,formal UML/model,activity,partial,Student/Artemis/Iris swimlanes + legend
MA-Presentation-Ostertag.pdf,1,title,Automated Standardization of Educational Documents in an OER Platform,title,none,,,CIT template; Master
MA-Presentation-Ostertag.pdf,2,introduction,LEARN-Hub as popular CS OER-sharing Repository,context,icon-array,,,hub-and-spokes icon graphic
MA-Presentation-Ostertag.pdf,3,problem,What is missing?,problem,icon-array,,,3 cards
MA-Presentation-Ostertag.pdf,4,motivation,Why Solving This Matters,motivation,icon-array,,,3 cards
MA-Presentation-Ostertag.pdf,5,objectives,Three Objectives - One Thesis,objectives/requirements/RQ,none,,,3 numbered objectives
MA-Presentation-Ostertag.pdf,6,objectives,Three Objectives - One Thesis,objectives/requirements/RQ,none,,,"re-show, obj 1 highlighted (wayfinding build)"
MA-Presentation-Ostertag.pdf,7,migration,Migrating to Spring Boot Without Touching Functionality,architecture/subsystem,formal UML/model,component,yes,"migration component diagram, Migrated/New/Existing legend, ~75% width"
MA-Presentation-Ostertag.pdf,8,objectives,Three Objectives - One Thesis,objectives/requirements/RQ,none,,,"re-show, obj 2 highlighted"
MA-Presentation-Ostertag.pdf,9,ux & consistency,Integrating the Hub into Chair's Standards,other,table,,,3-column change list
MA-Presentation-Ostertag.pdf,10,ux & consistency,Mockup Comparison,context,screenshot,,,before/after UI
MA-Presentation-Ostertag.pdf,11,objectives,Three Objectives - One Thesis,objectives/requirements/RQ,none,,,"re-show, obj 3 highlighted"
MA-Presentation-Ostertag.pdf,12,standard documents,What Is The Vision of LEARN-Hub?,domain/use-case,formal UML/model,use case,yes,"3 actors, system boundary, include/extend, New/Modified/Existing legend, ~85% width"
MA-Presentation-Ostertag.pdf,13,standard documents,What Material Should Be Included?,domain/use-case,icon-array,,,6 material cards
MA-Presentation-Ostertag.pdf,14,architecture,How Is This Achieved? - Generation,architecture/subsystem,formal UML/model,component,yes,subsystem decomposition w/ interfaces; build pair 14-15
MA-Presentation-Ostertag.pdf,15,architecture,How Is This Achieved? - Retrieval,architecture/subsystem,formal UML/model,component,yes,build of p14 with retrieval path highlighted
MA-Presentation-Ostertag.pdf,16,demo,Live Demo,demo,none,,,dark navy separator
MA-Presentation-Ostertag.pdf,17,status,What Did We Achieve?,status,none,,,"reuses objective wording, all green checks"
MA-Presentation-Ostertag.pdf,18,status,What Stayed Open?,status,none,,,PARTIALLY REALIZED / REMAINED OPEN split
MA-Presentation-Ostertag.pdf,19,future work,Three Directions for Future Work,future work,icon-array,,,3 cards
MA-Presentation-Ostertag.pdf,20,questions,Questions are welcome!,questions/thanks,none,,,dark navy separator
MA-Presentation-Ostertag.pdf,21,appendix,Pipeline Inputs,appendix-content,table,,,material-type input table
MA-Presentation-Ostertag.pdf,22,appendix,Analysis Object Model,appendix-content,formal UML/model,class,yes,AOM class diagram ~85% width
MA-Presentation-Ostertag.pdf,23,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,24,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,25,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,26,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
