deck,pdf_page,section_label,takeaway_title,slide_kind,diagram_visual,diagram_type,apollon_mappable,notes
MA-Presentation-Ostertag.pdf,27,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,28,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,29,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,30,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,31,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,32,appendix,What Is The Workflow?,appendix-content,formal UML/model,activity,partial,swimlane activity diagram; 10-frame progressive build (Apollon activity has no swimlanes)
MA-Presentation-Ostertag.pdf,33,acknowledgements,Acknowledgments,acknowledgements,none,,,credits Lahnor & Ederer template
MA_Thesis_Presentation_Ederer.pdf,1,title,Design and Development of a Digital Story-Coding Activity with Ozobots,title,none,,,CIT template; Master
MA_Thesis_Presentation_Ederer.pdf,2,problem,Why Doesn't This Happen Naturally?,problem,icon-array,,,3 cards
MA_Thesis_Presentation_Ederer.pdf,3,motivation,Why Solving This Matters,motivation,icon-array,,,3 cards
MA_Thesis_Presentation_Ederer.pdf,4,objectives,Three Objectives - One Thesis,objectives/requirements/RQ,none,,,3 numbered objectives
MA_Thesis_Presentation_Ederer.pdf,5,concept,Digital Story-Coding with Ozobots,context,photo,,,AI-generated concept images
MA_Thesis_Presentation_Ederer.pdf,6,system models,Analysis Object Model (overview),data model,formal UML/model,class,yes,"3 color-coded packages, ~85% width"
MA_Thesis_Presentation_Ederer.pdf,7,system models,Narrative Structure,data model,formal UML/model,class,yes,zoom of p6 package (progressive)
MA_Thesis_Presentation_Ederer.pdf,8,system models,Programming Structure,data model,formal UML/model,class,yes,zoom of p6 package (progressive)
MA_Thesis_Presentation_Ederer.pdf,9,system models,Social Collaboration Structure,data model,formal UML/model,class,yes,zoom of p6 package (progressive)
MA_Thesis_Presentation_Ederer.pdf,10,demo,Live Demo,demo,none,,,dark navy separator with artwork
MA_Thesis_Presentation_Ederer.pdf,11,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,12,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,13,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,14,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,15,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,16,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,17,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,18,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,19,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,20,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,21,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,22,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,23,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,24,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,25,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,26,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,27,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,28,demo,Live Demo walkthrough,demo,screenshot,,,in-app screenshots; animation frames (printed slides 11-14)
MA_Thesis_Presentation_Ederer.pdf,29,dynamic model,Physical / Digital Interaction,dynamic/workflow,formal UML/model,activity,partial,two-partition activity flow (lane-like coloring)
MA_Thesis_Presentation_Ederer.pdf,30,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,31,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,32,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,33,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,34,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,35,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,36,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,37,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,38,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,39,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,40,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,41,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,42,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,43,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,44,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,45,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,46,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,47,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,48,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,49,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,50,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,layered component diagram; 21-frame highlight build (printed slide 16)
MA_Thesis_Presentation_Ederer.pdf,51,evaluation,Exploratory Testing Overview,evaluation/results,flow/pipeline,,,peer test / pilot1 / pilot2 timeline cards
MA_Thesis_Presentation_Ederer.pdf,52,evaluation,Pilot 1: Analog Programming,evaluation/results,table,,,results/findings/refinements columns
MA_Thesis_Presentation_Ederer.pdf,53,evaluation,Pilot 2: Digital Programming,evaluation/results,table,,,results/findings/final design columns
MA_Thesis_Presentation_Ederer.pdf,54,knowledge transfer,Serious Play Conference,other,photo,,,conference photos
MA_Thesis_Presentation_Ederer.pdf,55,status,What Did We Achieve? (obj 1),status,screenshot,,,per-objective evidence build
MA_Thesis_Presentation_Ederer.pdf,56,status,What Did We Achieve? (obj 2),status,screenshot,,,per-objective evidence build
MA_Thesis_Presentation_Ederer.pdf,57,status,What Did We Achieve? (all),status,none,,,"reuses objective wording, checks"
MA_Thesis_Presentation_Ederer.pdf,58,status,What Stayed Open?,status,none,,,PARTIALLY REALIZED / REMAINED OPEN
MA_Thesis_Presentation_Ederer.pdf,59,future work,Three Directions for Future Work,future work,icon-array,,,3 cards
MA_Thesis_Presentation_Ederer.pdf,60,questions,Questions are welcome!,questions/thanks,none,,,dark separator
Nikolas Hack Bachelor-Presentation.pdf,1,title,Shared Language Server Architectures,title,none,,,
Nikolas Hack Bachelor-Presentation.pdf,2,intro,RAM prices in recent Months,context,chart/plot,,,price trend chart
Nikolas Hack Bachelor-Presentation.pdf,3,intro,EduIDE for Students,context,screenshot,,,
Nikolas Hack Bachelor-Presentation.pdf,4,problem,From the perspective of an Administrator,problem,custom architecture graphic,,,N IDE boxes; build 4-5
Nikolas Hack Bachelor-Presentation.pdf,5,problem,From the perspective of an Administrator,problem,custom architecture graphic,,,build w/ annotations
Nikolas Hack Bachelor-Presentation.pdf,6,motivation,Why does solving this matter?,motivation,icon-array,,,4 cards
Nikolas Hack Bachelor-Presentation.pdf,7,objectives,How do we reach this goal?,objectives/requirements/RQ,icon-array,,,"3 cards; re-shown at 11, 17"
Nikolas Hack Bachelor-Presentation.pdf,8,hypothesis,From N:N to N:1,context,custom architecture graphic,,,current vs hypothesis
Nikolas Hack Bachelor-Presentation.pdf,9,hypothesis,Findings during our research,context,custom architecture graphic,,,build 9-10 + maintainer quote
Nikolas Hack Bachelor-Presentation.pdf,10,hypothesis,Shared JVM path blocked,context,custom architecture graphic,,,negative result callout
Nikolas Hack Bachelor-Presentation.pdf,11,objectives,Objectives re-show,objectives/requirements/RQ,icon-array,,,obj2 highlighted (wayfinding)
Nikolas Hack Bachelor-Presentation.pdf,12,architecture,Architectural Evolution,architecture/subsystem,formal UML/model,deployment,partial,Kubernetes pods/PVC as 3D nodes w/ component symbols; 5-frame build; Preexisting/Modified/New legend
Nikolas Hack Bachelor-Presentation.pdf,13,architecture,Architectural Evolution,architecture/subsystem,formal UML/model,deployment,partial,Kubernetes pods/PVC as 3D nodes w/ component symbols; 5-frame build; Preexisting/Modified/New legend
Nikolas Hack Bachelor-Presentation.pdf,14,architecture,Architectural Evolution,architecture/subsystem,formal UML/model,deployment,partial,Kubernetes pods/PVC as 3D nodes w/ component symbols; 5-frame build; Preexisting/Modified/New legend
Nikolas Hack Bachelor-Presentation.pdf,15,architecture,Architectural Evolution,architecture/subsystem,formal UML/model,deployment,partial,Kubernetes pods/PVC as 3D nodes w/ component symbols; 5-frame build; Preexisting/Modified/New legend
Nikolas Hack Bachelor-Presentation.pdf,16,architecture,Architectural Evolution,architecture/subsystem,formal UML/model,deployment,partial,Kubernetes pods/PVC as 3D nodes w/ component symbols; 5-frame build; Preexisting/Modified/New legend
Nikolas Hack Bachelor-Presentation.pdf,17,objectives,Objectives re-show,objectives/requirements/RQ,icon-array,,,obj3 highlighted
Nikolas Hack Bachelor-Presentation.pdf,18,benchmark,Benchmark Workflow,dynamic/workflow,formal UML/model,activity,yes,3-node strip w/ initial/final nodes
Nikolas Hack Bachelor-Presentation.pdf,19,demo,Demo - Playwright testing,demo,screenshot,,,"terminal screenshots, not separator"
Nikolas Hack Bachelor-Presentation.pdf,20,demo,Demo,demo,screenshot,,,
Nikolas Hack Bachelor-Presentation.pdf,21,evaluation,Benchmark Results - Median RAM,evaluation/results,chart/plot,,,box plots
Nikolas Hack Bachelor-Presentation.pdf,22,evaluation,Benchmark Results - Median Latency,evaluation/results,chart/plot,,,box plots
Nikolas Hack Bachelor-Presentation.pdf,23,evaluation,Findings / Limitations,evaluation/results,icon-array,,,
Nikolas Hack Bachelor-Presentation.pdf,24,status,Where are we now?,status,icon-array,,,objectives w/ green checks; build 24-25
Nikolas Hack Bachelor-Presentation.pdf,25,status,Where are we now? + Architectural Limitations,status,icon-array,,,
Nikolas Hack Bachelor-Presentation.pdf,26,future work,Future work,future work,icon-array,,,
Nikolas Hack Bachelor-Presentation.pdf,27,thanks,Thank you for listening!,questions/thanks,none,,,
Nikolas Hack Bachelor-Presentation.pdf,28,appendix,Benchmark Workflow (detailed),appendix-content,formal UML/model,activity,yes,4-frame build of detailed workflow
Nikolas Hack Bachelor-Presentation.pdf,29,appendix,Benchmark Workflow (detailed),appendix-content,formal UML/model,activity,yes,4-frame build of detailed workflow
Nikolas Hack Bachelor-Presentation.pdf,30,appendix,Benchmark Workflow (detailed),appendix-content,formal UML/model,activity,yes,4-frame build of detailed workflow
Nikolas Hack Bachelor-Presentation.pdf,31,appendix,Benchmark Workflow (detailed),appendix-content,formal UML/model,activity,yes,4-frame build of detailed workflow
Shudong_Cai_Thesis_Presentation.pdf,1,title,Benchmarking the Robustness of LMS Autograders,title,none,,,degree unstated on title
Shudong_Cai_Thesis_Presentation.pdf,2,problem,Malicious student vs autograder,problem,flow/pipeline,,,icon flow + question
Shudong_Cai_Thesis_Presentation.pdf,3,motivation,Define attacks -> run -> compare,motivation,flow/pipeline,,,icon flow
Shudong_Cai_Thesis_Presentation.pdf,4,objectives,Objectives,objectives/requirements/RQ,icon-array,,,4 + reproducible/automatic center
Shudong_Cai_Thesis_Presentation.pdf,5,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,"Researcher/Reviewer actors, boundary"
Shudong_Cai_Thesis_Presentation.pdf,6,dynamic model,Benchmark Run Activity Diagram,dynamic/workflow,formal UML/model,activity,partial,5 column partitions
Shudong_Cai_Thesis_Presentation.pdf,7,architecture,System Architecture,architecture/subsystem,formal UML/model,component,yes,"components + subsystem, ~80% width"
Shudong_Cai_Thesis_Presentation.pdf,8,demo,Live Demo,demo,none,,,white separator (first of two)
Shudong_Cai_Thesis_Presentation.pdf,9,architecture,System Architecture (annotated),architecture/subsystem,formal UML/model,component,yes,re-show of p7 w/ progress icons
Shudong_Cai_Thesis_Presentation.pdf,10,implementation,Domain Specific Languages,other,code,,,3 DSL panels
Shudong_Cai_Thesis_Presentation.pdf,11,architecture,System Architecture (annotated),architecture/subsystem,formal UML/model,component,yes,re-show w/ more icons
Shudong_Cai_Thesis_Presentation.pdf,12,demo,Live Demo,demo,none,,,second demo separator
Shudong_Cai_Thesis_Presentation.pdf,13,evaluation,Benchmark Suite,evaluation/results,table,,,"22 categories, 8 platforms"
Shudong_Cai_Thesis_Presentation.pdf,14,evaluation,Results,evaluation/results,table,,,score table + formula
Shudong_Cai_Thesis_Presentation.pdf,15,status,Status and Expectations,status,icon-array,,,reuses objective icons w/ green checks
Shudong_Cai_Thesis_Presentation.pdf,16,future work,Future Work,future work,icon-array,,,
Shudong_Cai_Thesis_Presentation.pdf,17,thanks,Thank you for listening!,questions/thanks,none,,,
Shudong_Cai_Thesis_Presentation.pdf,18,sources,Sources,other,none,,,reference list
Shudong_Cai_Thesis_Presentation.pdf,19,appendix,Additional Material,appendix-divider,none,,,
Shudong_Cai_Thesis_Presentation.pdf,20,appendix,Evaluated Platform Versions,appendix-content,table,,,
Shudong_Cai_Thesis_Presentation.pdf,21,appendix,Domain Specific Languages,appendix-content,code,,,5 DSL panels
Shudong_Cai_Thesis_Presentation.pdf,22,appendix,Descriptor-Driven Result Normalization,appendix-content,flow/pipeline,,,
Shudong_Cai_Thesis_Presentation.pdf,23,appendix,Aggregator Internal Component Diagram,appendix-content,formal UML/model,component,yes,
Shudong_Cai_Thesis_Presentation.pdf,24,appendix,Container Manager Internal Component Diagram,appendix-content,formal UML/model,component,yes,
Shudong_Cai_Thesis_Presentation.pdf,25,appendix,Manager Run Gateway Internal Component Diagram,appendix-content,formal UML/model,component,yes,
Thesis Presentation - MA Nayer Kotry.pdf,1,title,Global Search in Artemis,title,none,,,custom template; Master
Thesis Presentation - MA Nayer Kotry.pdf,2,problem,Exam Week!,problem,icon-array,,,story hook 1/3
Thesis Presentation - MA Nayer Kotry.pdf,3,problem,Student question example,problem,other,,,story hook 2/3
Thesis Presentation - MA Nayer Kotry.pdf,4,problem,Where is it? (lecture maze),problem,icon-array,,,story hook 3/3
Thesis Presentation - MA Nayer Kotry.pdf,5,motivation,Discoverability / Comprehension / Continuity,motivation,icon-array,,,3 numbered cards
Thesis Presentation - MA Nayer Kotry.pdf,6,objectives,Lecture Search / Iris in Global Search / Grounding & Handoff,objectives/requirements/RQ,icon-array,,,3 objective cards
Thesis Presentation - MA Nayer Kotry.pdf,7,scope,Use Case Diagram,domain/use-case,formal UML/model,use case,yes,"extend chains, New/Collaborating/Shared legend, ~85% width"
Thesis Presentation - MA Nayer Kotry.pdf,8,demo,Live Demo,demo,none,,,separator
Thesis Presentation - MA Nayer Kotry.pdf,9,architecture,System Decomposition - Lecture Search,architecture/subsystem,formal UML/model,component,yes,"Artemis/Pyris subsystems, ~90% width"
Thesis Presentation - MA Nayer Kotry.pdf,10,architecture,System Decomposition - Iris Answer (Skip AI),architecture/subsystem,formal UML/model,component,yes,progressive variant of p9
Thesis Presentation - MA Nayer Kotry.pdf,11,architecture,System Decomposition - Iris Answer (Trigger AI),architecture/subsystem,formal UML/model,component,yes,progressive variant of p9
Thesis Presentation - MA Nayer Kotry.pdf,12,status,Status,status,none,,,reuses objective cards; Realized/Partial/Deferred badges
Thesis Presentation - MA Nayer Kotry.pdf,13,future work,Future Work,future work,icon-array,,,3 cards
Thesis Presentation - MA Nayer Kotry.pdf,14,thanks,Thank you for your time!,questions/thanks,none,,,
ThesisPresentationMaiaFilip.pdf,1,title,Benchmarking the Quality of Educational Quizzes Using LLMs,title,none,,,
ThesisPresentationMaiaFilip.pdf,2,context,Preparing the Quiz,context,icon-array,,,illustration
ThesisPresentationMaiaFilip.pdf,3,problem,Problem,problem,icon-array,,,no framework statement
ThesisPresentationMaiaFilip.pdf,4,motivation,Motivation,motivation,icon-array,,,5-frame build 4-8
ThesisPresentationMaiaFilip.pdf,5,motivation,Motivation,motivation,icon-array,,,build
ThesisPresentationMaiaFilip.pdf,6,motivation,Motivation,motivation,icon-array,,,build
ThesisPresentationMaiaFilip.pdf,7,motivation,Motivation,motivation,icon-array,,,build
ThesisPresentationMaiaFilip.pdf,8,motivation,Motivation,motivation,icon-array,,,build
ThesisPresentationMaiaFilip.pdf,9,objectives,Objectives,objectives/requirements/RQ,icon-array,,,4 verb-led cards
ThesisPresentationMaiaFilip.pdf,10,scope,Use Case Model,domain/use-case,formal UML/model,use case,partial,Educator actor + ovals in boundary; stylized
ThesisPresentationMaiaFilip.pdf,11,demo,Demo,demo,none,,,gradient-text separator
ThesisPresentationMaiaFilip.pdf,12,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,pipeline of subsystems ~85% width
ThesisPresentationMaiaFilip.pdf,13,status,Status,status,icon-array,,,reuses objective wording w/ checks
ThesisPresentationMaiaFilip.pdf,14,future work,Future Work,future work,icon-array,,,
ThesisPresentationMaiaFilip.pdf,15,thanks,Thank you!,questions/thanks,none,,,
ThesisPresentation_CelineLahnor.pdf,1,title,Enhancing Notifications and Profile Management in TUMApply,title,none,,,CIT template origin deck
ThesisPresentation_CelineLahnor.pdf,2,problem,An applicant's journey.,problem,icon-array,,,3-step journey cards
ThesisPresentation_CelineLahnor.pdf,3,motivation,Why solving this matters.,motivation,icon-array,,,3 cards
ThesisPresentation_CelineLahnor.pdf,4,objectives,"Three goals, one research question.",objectives/requirements/RQ,icon-array,,,3 cards w/ sub-bullets
ThesisPresentation_CelineLahnor.pdf,5,system models,Dynamic Model,dynamic/workflow,formal UML/model,activity,partial,"Applicant/System swimlanes, new steps highlighted"
ThesisPresentation_CelineLahnor.pdf,6,system models,Analysis Object Model,data model,formal UML/model,class,yes,~80% width
ThesisPresentation_CelineLahnor.pdf,7,demo,Live Demo,demo,none,,,dark navy separator + logo
ThesisPresentation_CelineLahnor.pdf,8,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,5-frame annotated build; Extended Modules legend
ThesisPresentation_CelineLahnor.pdf,9,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,5-frame annotated build; Extended Modules legend
ThesisPresentation_CelineLahnor.pdf,10,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,5-frame annotated build; Extended Modules legend
ThesisPresentation_CelineLahnor.pdf,11,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,5-frame annotated build; Extended Modules legend
ThesisPresentation_CelineLahnor.pdf,12,architecture,Subsystem Decomposition,architecture/subsystem,formal UML/model,component,yes,5-frame annotated build; Extended Modules legend
ThesisPresentation_CelineLahnor.pdf,13,status,What was built.,status,none,,,reuses objective cards; all-green banner
ThesisPresentation_CelineLahnor.pdf,14,status,What stayed open.,status,none,,,PARTIALLY REALIZED / REMAINED OPEN
ThesisPresentation_CelineLahnor.pdf,15,future work,Guided Application Preparation,future work,screenshot,,,mockup
ThesisPresentation_CelineLahnor.pdf,16,future work,In-App Notification Overview,future work,screenshot,,,mockup
ThesisPresentation_CelineLahnor.pdf,17,thanks,Thank you for listening!,questions/thanks,none,,,dark separator
ThesisPresentation_CelineLahnor.pdf,18,sources,Sources,other,none,,,icon sources
präsi_mb_ba_publish.pdf,1,title,Advancing the Ozobot Challenge,title,none,,,non-software thesis (board game)
präsi_mb_ba_publish.pdf,2,problem,The Problem,problem,chart/plot,,,enrollment chart + board photo
präsi_mb_ba_publish.pdf,3,motivation,Motivation,motivation,photo,,,
präsi_mb_ba_publish.pdf,4,objectives,Research Question & Objectives,objectives/requirements/RQ,flow/pipeline,,,RQ + 4-step flow
präsi_mb_ba_publish.pdf,5,context,The Original Prototype,context,icon-array,,,4 issue flags
präsi_mb_ba_publish.pdf,6,requirements,Requirements,objectives/requirements/RQ,icon-array,,,
präsi_mb_ba_publish.pdf,7,design,Physical Redesign,other,photo,,,board artwork
präsi_mb_ba_publish.pdf,8,design,(card/board assets),other,photo,,,
präsi_mb_ba_publish.pdf,9,design,The Redesign: Gameplay Logic,dynamic/workflow,formal UML/model,flowchart,yes,gameplay decision flowchart
präsi_mb_ba_publish.pdf,10,evaluation,Pilot Study: Setup,evaluation/results,icon-array,,,"100 pupils, grades 3-4"
präsi_mb_ba_publish.pdf,11,evaluation,Results,evaluation/results,icon-array,,,per-requirement checks
präsi_mb_ba_publish.pdf,12,evaluation,Discussion & Limitations,evaluation/results,none,,,achieved vs open columns
präsi_mb_ba_publish.pdf,13,conclusion,Conclusion (RQ answered),status,none,,,RQ re-shown w/ check
präsi_mb_ba_publish.pdf,14,future work,Future Work,future work,photo,,,
präsi_mb_ba_publish.pdf,15,appendix,(game board),appendix-content,photo,,,
präsi_mb_ba_publish.pdf,16,appendix,(cards),appendix-content,photo,,,
präsi_mb_ba_publish.pdf,17,appendix,(Ozobot track),appendix-content,photo,,,
